datetime,data
27-03-2021 13:59:13,"0.7,0.12,4.62,31.9,0.53,0.08,49.64,0.08,0.22,0.09,0.08,0.06,0.0,0.39,5.91,0.4"
27-03-2021 13:59:17,"0.7,0.15,17.26,122.32,0.33,0.09,22.13,1.26,0.22,0.06,0.19,0.04,0.0,0.33,5.83,0.28"
27-03-2021 13:59:21,"0.68,0.15,3.58,132.79,0.35,0.1,26.57,6.52,0.21,0.04,0.37,0.06,0.01,0.25,5.98,0.37"
27-03-2021 13:59:27,"0.71,0.26,2.82,130.54,0.6,0.08,24.71,6.65,0.21,0.07,0.3,0.06,0.01,0.39,5.64,0.31"
27-03-2021 13:59:31,"0.75,0.27,13.06,33.91,0.45,0.08,36.86,18.3,0.21,0.07,0.22,0.04,0.02,0.36,5.79,0.28"
27-03-2021 13:59:35,"0.74,0.29,27.46,82.82,0.42,0.08,18.25,19.72,0.21,0.16,0.04,0.06,0.02,0.3,6.02,0.23"
27-03-2021 13:59:40,"0.77,0.24,23.33,87.27,0.41,0.07,22.85,29.28,0.21,0.14,0.07,0.04,0.02,0.33,5.67,0.21"
27-03-2021 13:59:45,"0.81,0.29,29.17,95.58,0.44,0.07,18.99,25.17,0.27,0.07,0.3,0.04,0.02,0.31,5.64,0.19"
27-03-2021 13:59:49,"0.84,0.24,46.5,53.76,0.45,0.06,24.37,15.75,0.22,0.27,0.05,0.05,0.03,0.33,5.78,0.19"
27-03-2021 13:59:53,"0.82,0.24,0.05,0.87,0.32,0.07,5.34,0.15,0.2,0.17,378.63,12.07,0.02,0.23,1486.75,23.44"
27-03-2021 13:59:59,"0.86,0.18,0.08,0.26,0.27,0.07,5.17,0.1,0.22,0.13,391.7,24.21,0.03,0.4,394.71,37.04"
27-03-2021 14:00:03,"0.84,0.2,0.11,0.09,0.32,0.05,5.14,0.08,0.21,0.07,382.8,34.15,0.02,0.34,317.91,39.81"
27-03-2021 14:00:07,"0.83,0.11,0.12,0.05,0.34,0.05,5.1,0.07,0.21,0.12,357.68,41.47,0.03,0.34,248.64,41.78"
27-03-2021 14:00:12,"0.86,0.25,0.12,0.01,0.4,0.05,5.09,0.06,0.22,0.09,350.75,45.34,0.03,0.41,228.57,40.92"
27-03-2021 14:00:16,"0.86,0.19,0.12,0.03,0.38,0.06,5.07,0.06,0.21,0.08,381.39,39.06,0.02,0.38,252.23,46.72"
27-03-2021 14:00:20,"0.88,0.25,0.0,0.12,0.33,0.05,29.09,11.94,0.2,0.07,113.23,7.37,0.03,0.3,3.85,0.42"
27-03-2021 14:00:25,"0.87,0.16,8.9,38.48,0.24,0.04,5.26,8.52,0.21,0.11,74.64,19.09,0.03,0.4,5.0,0.47"
27-03-2021 14:00:29,"0.88,0.3,7.56,40.86,0.33,0.03,2.06,8.88,0.21,0.08,90.9,22.46,0.03,0.42,5.24,0.57"
27-03-2021 14:00:33,"0.88,0.18,7.02,31.63,0.32,0.04,2.92,7.46,0.22,0.08,129.33,22.57,0.03,0.4,5.96,0.46"
27-03-2021 14:00:38,"0.36,28.32,7.88,26.73,0.23,18.35,12.85,11.23,0.23,0.06,0.57,0.08,0.02,0.34,8.64,0.51"
